Row,F1_Human,F2_Tech,F3_LBPV,F4_SBPV,NVI_SIL,Sex
1,L,L,L,L,0.047868,F
2,L,M,L,L,0.094627,F
3,L,H,L,L,0.147898,F
4,O,L,L,L,0.03989,F
5,O,M,L,L,0.054073,F
6,O,H,L,L,0.079945,F
7,H,L,L,L,0.043879,F
8,H,M,L,L,0.084975,F
9,H,H,L,L,0.1384,F
10,L,L,L,M,0.094627,F
11,L,M,L,M,0.132993,F
12,L,H,L,M,0.215105,F
13,O,L,L,M,0.054087,F
14,O,M,L,M,0.075996,F
15,O,H,L,M,0.116273,F
16,H,L,L,M,0.084975,F
17,H,M,L,M,0.126072,F
18,H,H,L,M,0.179497,F
19,L,L,L,H,0.147898,F
20,L,M,L,H,0.215105,F
21,L,H,L,H,0.338076,F
22,O,L,L,H,0.079945,F
23,O,M,L,H,0.116289,F
24,O,H,L,H,0.182744,F
25,H,L,L,H,0.1384,F
26,H,M,L,H,0.179497,F
27,H,H,L,H,0.259497,F
28,L,L,M,L,0.066572,F
29,L,M,M,L,0.113331,F
30,L,H,M,L,0.166602,F
31,O,L,M,L,0.043614,F
32,O,M,M,L,0.057598,F
33,O,H,M,L,0.08309,F
34,H,L,M,L,0.135204,F
35,H,M,M,L,0.1763,F
36,H,H,M,L,0.229726,F
37,L,L,M,M,0.113331,F
38,L,M,M,M,0.151697,F
39,L,H,M,M,0.233809,F
40,O,L,M,M,0.057554,F
41,O,M,M,M,0.079141,F
42,O,H,M,M,0.118817,F
43,H,L,M,M,0.1763,F
44,H,M,M,M,0.217397,F
45,H,H,M,M,0.270822,F
46,L,L,M,H,0.166602,F
47,L,M,M,H,0.233809,F
48,L,H,M,H,0.35678,F
49,O,L,M,H,0.083028,F
50,O,M,M,H,0.118834,F
51,O,H,M,H,0.184242,F
52,H,L,M,H,0.229726,F
53,H,M,M,H,0.270822,F
54,H,H,M,H,0.350822,F
55,L,L,H,L,0.092757,F
56,L,M,H,L,0.139517,F
57,L,H,H,L,0.192787,F
58,O,L,H,L,0.055796,F
59,O,M,H,L,0.069695,F
60,O,H,H,L,0.095014,F
61,H,L,H,L,0.334778,F
62,H,M,H,L,0.375874,F
63,H,H,H,L,0.4293,F
64,L,L,H,M,0.139517,F
65,L,M,H,M,0.177883,F
66,L,H,H,M,0.259994,F
67,O,L,H,M,0.069712,F
68,O,M,H,M,0.091158,F
69,O,H,H,M,0.13058,F
